Code,Enum,Reference
0x01,SUCCESS,[RFC8907]  # TAC_PLUS_ACCT_STATUS_SUCCESS,
0x02,ERROR,[RFC8907]    # TAC_PLUS_ACCT_STATUS_ERROR
0x21,FOLLOW,[RFC8907]   # TAC_PLUS_ACCT_STATUS_FOLLOW
