Code,Enum,Reference
0x01,LOGIN,[RFC8907]     # TAC_PLUS_AUTHEN_LOGIN
0x02,CHPASS,[RFC8907]    # TAC_PLUS_AUTHEN_CHPASS
0x04,SENDAUTH,[RFC8907]  # TAC_PLUS_AUTHEN_SENDAUTH
