Code,Enum,Reference
0x01,PASS_ADD,[RFC8907]  # TAC_PLUS_AUTHOR_STATUS_PASS_ADD
0x02,PASS_REPL,[RFC8907] # TAC_PLUS_AUTHOR_STATUS_PASS_REPL
0x10,FAIL,[RFC8907]      # TAC_PLUS_AUTHOR_STATUS_FAIL
0x11,ERROR,[RFC8907]     # TAC_PLUS_AUTHOR_STATUS_ERROR
0x21,FOLLOW,[RFC8907]    # TAC_PLUS_AUTHOR_STATUS_FOLLOW
