Code,Enum,Reference
0x01,PASS,[RFC8907]    # TAC_PLUS_AUTHEN_STATUS_PASS
0x02,FAIL,[RFC8907]    # TAC_PLUS_AUTHEN_STATUS_FAIL
0x03,GETDATA,[RFC8907] # TAC_PLUS_AUTHEN_STATUS_GETDATA
0x04,GETUSER,[RFC8907] # TAC_PLUS_AUTHEN_STATUS_GETUSER
0x05,GETPASS,[RFC8907] # TAC_PLUS_AUTHEN_STATUS_GETPASS
0x06,RESTART,[RFC8907] # TAC_PLUS_AUTHEN_STATUS_RESTART
0x07,ERROR,[RFC8907]   # TAC_PLUS_AUTHEN_STATUS_ERROR
0x21,FOLLOW,[RFC8907]  # TAC_PLUS_AUTHEN_STATUS_FOLLOW
