Code,Enum,Reference
0x00,NONE,[RFC8907]    # TAC_PLUS_AUTHEN_SVC_NONE
0x01,LOGIN,[RFC8907]   # TAC_PLUS_AUTHEN_SVC_LOGIN
0x02,ENABLE,[RFC8907]  # TAC_PLUS_AUTHEN_SVC_ENABLE
0x03,PPP,[RFC8907]     # TAC_PLUS_AUTHEN_SVC_PPP
0x05,PT,[RFC8907]      # TAC_PLUS_AUTHEN_SVC_PT
0x06,RCMD,[RFC8907]    # TAC_PLUS_AUTHEN_SVC_RCMD
0x07,X25,[RFC8907]     # TAC_PLUS_AUTHEN_SVC_X25
0x08,NASI,[RFC8907]    # TAC_PLUS_AUTHEN_SVC_NASI
0x09,FWPROXY,[RFC8907] # TAC_PLUS_AUTHEN_SVC_FWPROXY
