Code,Enum,Reference
0x00,MIN,[RFC8907]   # TAC_PLUS_PRIV_LVL_MIN,
0x01,USER,[RFC8907]  # TAC_PLUS_PRIV_LVL_USER
0x0f,ROOT,[RFC8907]  # TAC_PLUS_PRIV_LVL_ROOT
