Code,Enum,Reference
0x01,ASCII,[RFC8907]    # TAC_PLUS_AUTHEN_TYPE_ASCII
0x02,PAP,[RFC8907]      # TAC_PLUS_AUTHEN_TYPE_PAP
0x03,CHAP,[RFC8907]     # TAC_PLUS_AUTHEN_TYPE_CHAP
0x05,MSCHAP,[RFC8907]   # TAC_PLUS_AUTHEN_TYPE_MSCHAP
0x06,MSCHAPV2,[RFC8907] # TAC_PLUS_AUTHEN_TYPE_MSCHAPV2
